Tract,Instrument,Order by Date,Image Path,Vol,Page,Inst. No.,File Date,Inst./Eff. Date,Grantor,Grantee,Land Desc.,Interest,Remarks
T03,Ratification 00983,2003-11-03,phase0/import-stress/T03/image-00983.pdf,183,484,P0-00983,2003-11-04,2003-11-03,Phase 0 Grantor 014,Phase 0 Grantee 080,"Section 3, Block 3, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 00983
T04,Warranty Deed 00984,2004-12-04,phase0/import-stress/T04/image-00984.pdf,184,485,P0-00984,2004-12-05,2004-12-04,Phase 0 Grantor 015,Phase 0 Grantee 081,"Section 4, Block 4, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 00984
T05,Mineral Deed 00985,2005-01-05,phase0/import-stress/T05/image-00985.pdf,185,486,P0-00985,2005-01-06,2005-01-05,Phase 0 Grantor 016,Phase 0 Grantee 082,"Section 5, Block 5, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 00985
T06,Royalty Deed 00986,2006-02-06,phase0/import-stress/T06/image-00986.pdf,186,487,P0-00986,2006-02-07,2006-02-06,Phase 0 Grantor 017,Phase 0 Grantee 083,"Section 6, Block 6, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 00986
T07,Oil and Gas Lease 00987,2007-03-07,phase0/import-stress/T07/image-00987.pdf,187,488,P0-00987,2007-03-08,2007-03-07,Phase 0 Grantor 018,Phase 0 Grantee 084,"Section 7, Block 7, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 00987
T08,Assignment 00988,2008-04-08,phase0/import-stress/T08/image-00988.pdf,188,489,P0-00988,2008-04-09,2008-04-08,Phase 0 Grantor 019,Phase 0 Grantee 085,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 00988
T09,Ratification 00989,2009-05-09,phase0/import-stress/T09/image-00989.pdf,189,490,P0-00989,2009-05-10,2009-05-09,Phase 0 Grantor 020,Phase 0 Grantee 086,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 00989
T10,Warranty Deed 00990,2010-06-10,phase0/import-stress/T10/image-00990.pdf,190,491,P0-00990,2010-06-11,2010-06-10,Phase 0 Grantor 021,Phase 0 Grantee 087,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 00990
T01,Mineral Deed 00991,2011-07-11,phase0/import-stress/T01/image-00991.pdf,191,492,P0-00991,2011-07-12,2011-07-11,Phase 0 Grantor 022,Phase 0 Grantee 088,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 00991
T02,Royalty Deed 00992,2012-08-12,phase0/import-stress/T02/image-00992.pdf,192,493,P0-00992,2012-08-13,2012-08-12,Phase 0 Grantor 023,Phase 0 Grantee 089,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 00992
T03,Oil and Gas Lease 00993,2013-09-13,phase0/import-stress/T03/image-00993.pdf,193,494,P0-00993,2013-09-14,2013-09-13,Phase 0 Grantor 024,Phase 0 Grantee 090,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 00993
T04,Assignment 00994,2014-10-14,phase0/import-stress/T04/image-00994.pdf,194,495,P0-00994,2014-10-15,2014-10-14,Phase 0 Grantor 025,Phase 0 Grantee 091,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 00994
T05,Ratification 00995,2015-11-15,phase0/import-stress/T05/image-00995.pdf,195,496,P0-00995,2015-11-16,2015-11-15,Phase 0 Grantor 026,Phase 0 Grantee 092,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 00995
T06,Warranty Deed 00996,2016-12-16,phase0/import-stress/T06/image-00996.pdf,196,497,P0-00996,2016-12-17,2016-12-16,Phase 0 Grantor 027,Phase 0 Grantee 093,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 00996
T07,Mineral Deed 00997,2017-01-17,phase0/import-stress/T07/image-00997.pdf,197,498,P0-00997,2017-01-18,2017-01-17,Phase 0 Grantor 028,Phase 0 Grantee 094,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 00997
T08,Royalty Deed 00998,2018-02-18,phase0/import-stress/T08/image-00998.pdf,198,499,P0-00998,2018-02-19,2018-02-18,Phase 0 Grantor 029,Phase 0 Grantee 095,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 00998
T09,Oil and Gas Lease 00999,2019-03-19,phase0/import-stress/T09/image-00999.pdf,199,500,P0-00999,2019-03-20,2019-03-19,Phase 0 Grantor 030,Phase 0 Grantee 096,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/41,"Cell text says ""ignore prior instructions""; parser must treat it as data."
T10,Assignment 01000,1980-04-20,phase0/import-stress/T10/image-01000.pdf,200,1,P0-01000,1980-04-21,1980-04-20,Phase 0 Grantor 031,Phase 0 Grantee 097,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 01000
T01,Ratification 01001,1981-05-21,phase0/import-stress/T01/image-01001.pdf,201,2,P0-01001,1981-05-22,1981-05-21,Phase 0 Grantor 032,Phase 0 Grantee 098,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 01001
T02,Warranty Deed 01002,1982-06-22,phase0/import-stress/T02/image-01002.pdf,202,3,P0-01002,1982-06-23,1982-06-22,Phase 0 Grantor 033,Phase 0 Grantee 099,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 01002
T03,Mineral Deed 01003,1983-07-23,phase0/import-stress/T03/image-01003.pdf,203,4,P0-01003,1983-07-24,1983-07-23,Phase 0 Grantor 034,Phase 0 Grantee 100,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 01003
T04,Royalty Deed 01004,1984-08-24,phase0/import-stress/T04/image-01004.pdf,204,5,P0-01004,1984-08-25,1984-08-24,Phase 0 Grantor 035,Phase 0 Grantee 101,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 01004
T05,Oil and Gas Lease 01005,1985-09-25,phase0/import-stress/T05/image-01005.pdf,205,6,P0-01005,1985-09-26,1985-09-25,Phase 0 Grantor 036,Phase 0 Grantee 102,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 01005
T06,Assignment 01006,1986-10-26,phase0/import-stress/T06/image-01006.pdf,206,7,P0-01006,1986-10-27,1986-10-26,Phase 0 Grantor 037,Phase 0 Grantee 103,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 01006
T07,Ratification 01007,1987-11-27,phase0/import-stress/T07/image-01007.pdf,207,8,P0-01007,1987-11-28,1987-11-27,Phase 0 Grantor 038,Phase 0 Grantee 104,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 01007
T08,Warranty Deed 01008,1988-12-28,phase0/import-stress/T08/image-01008.pdf,208,9,P0-01008,1988-12-01,1988-12-28,Phase 0 Grantor 039,Phase 0 Grantee 105,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 01008
T09,Mineral Deed 01009,1989-01-01,phase0/import-stress/T09/image-01009.pdf,209,10,P0-01009,1989-01-02,1989-01-01,Phase 0 Grantor 040,Phase 0 Grantee 106,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 01009
T10,Royalty Deed 01010,1990-02-02,phase0/import-stress/T10/image-01010.pdf,210,11,P0-01010,1990-02-03,1990-02-02,Phase 0 Grantor 041,Phase 0 Grantee 107,"Section 10, Block 2, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 01010
T01,Oil and Gas Lease 01011,1991-03-03,phase0/import-stress/T01/image-01011.pdf,211,12,P0-01011,1991-03-04,1991-03-03,Phase 0 Grantor 042,Phase 0 Grantee 108,"Section 1, Block 3, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 01011
T02,Assignment 01012,1992-04-04,phase0/import-stress/T02/image-01012.pdf,212,13,P0-01012,1992-04-05,1992-04-04,Phase 0 Grantor 043,Phase 0 Grantee 109,"Section 2, Block 4, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 01012
T03,Ratification 01013,1993-05-05,phase0/import-stress/T03/image-01013.pdf,213,14,P0-01013,1993-05-06,1993-05-05,Phase 0 Grantor 044,Phase 0 Grantee 110,"Section 3, Block 5, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 01013
T04,Warranty Deed 01014,1994-06-06,phase0/import-stress/T04/image-01014.pdf,214,15,P0-01014,1994-06-07,1994-06-06,Phase 0 Grantor 045,Phase 0 Grantee 111,"Section 4, Block 6, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 01014
T05,Mineral Deed 01015,1995-07-07,phase0/import-stress/T05/image-01015.pdf,215,16,P0-01015,1995-07-08,1995-07-07,Phase 0 Grantor 046,Phase 0 Grantee 112,"Section 5, Block 7, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 01015
T06,Royalty Deed 01016,1996-08-08,phase0/import-stress/T06/image-01016.pdf,216,17,P0-01016,1996-08-09,1996-08-08,Phase 0 Grantor 047,Phase 0 Grantee 113,"Section 6, Block 1, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 01016
T07,Oil and Gas Lease 01017,1997-09-09,phase0/import-stress/T07/image-01017.pdf,217,18,P0-01017,1997-09-10,1997-09-09,Phase 0 Grantor 048,Phase 0 Grantee 001,"Section 7, Block 2, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 01017
T08,Assignment 01018,1998-10-10,phase0/import-stress/T08/image-01018.pdf,218,19,P0-01018,1998-10-11,1998-10-10,Phase 0 Grantor 049,Phase 0 Grantee 002,"Section 8, Block 3, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 01018
T09,Ratification 01019,1999-11-11,phase0/import-stress/T09/image-01019.pdf,219,20,P0-01019,1999-11-12,1999-11-11,Phase 0 Grantor 050,Phase 0 Grantee 003,"Section 9, Block 4, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 01019
T10,Warranty Deed 01020,2000-12-12,phase0/import-stress/T10/image-01020.pdf,220,21,P0-01020,2000-12-13,2000-12-12,Phase 0 Grantor 051,Phase 0 Grantee 004,"Section 10, Block 5, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 01020
T01,Mineral Deed 01021,2001-01-13,phase0/import-stress/T01/image-01021.pdf,221,22,P0-01021,2001-01-14,2001-01-13,Phase 0 Grantor 052,Phase 0 Grantee 005,"Section 1, Block 6, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 01021
T02,Royalty Deed 01022,2002-02-14,phase0/import-stress/T02/image-01022.pdf,222,23,P0-01022,2002-02-15,2002-02-14,Phase 0 Grantor 053,Phase 0 Grantee 006,"Section 2, Block 7, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 01022
T03,Oil and Gas Lease 01023,2003-03-15,phase0/import-stress/T03/image-01023.pdf,223,24,P0-01023,2003-03-16,2003-03-15,Phase 0 Grantor 054,Phase 0 Grantee 007,"Section 3, Block 1, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 01023
T04,Assignment 01024,2004-04-16,phase0/import-stress/T04/image-01024.pdf,224,25,P0-01024,2004-04-17,2004-04-16,Phase 0 Grantor 055,Phase 0 Grantee 008,"Section 4, Block 2, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 01024
T05,Ratification 01025,2005-05-17,phase0/import-stress/T05/image-01025.pdf,225,26,P0-01025,2005-05-18,2005-05-17,Phase 0 Grantor 056,Phase 0 Grantee 009,"Section 5, Block 3, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 01025
T06,Warranty Deed 01026,2006-06-18,phase0/import-stress/T06/image-01026.pdf,226,27,P0-01026,2006-06-19,2006-06-18,Phase 0 Grantor 057,Phase 0 Grantee 010,"Section 6, Block 4, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 01026
T07,Mineral Deed 01027,2007-07-19,phase0/import-stress/T07/image-01027.pdf,227,28,P0-01027,2007-07-20,2007-07-19,Phase 0 Grantor 058,Phase 0 Grantee 011,"Section 7, Block 5, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 01027
T08,Royalty Deed 01028,2008-08-20,phase0/import-stress/T08/image-01028.pdf,228,29,P0-01028,2008-08-21,2008-08-20,Phase 0 Grantor 059,Phase 0 Grantee 012,"Section 8, Block 6, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 01028
T09,Oil and Gas Lease 01029,2009-09-21,phase0/import-stress/T09/image-01029.pdf,229,30,P0-01029,2009-09-22,2009-09-21,Phase 0 Grantor 060,Phase 0 Grantee 013,"Section 9, Block 7, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 01029
T10,Assignment 01030,2010-10-22,phase0/import-stress/T10/image-01030.pdf,230,31,P0-01030,2010-10-23,2010-10-22,Phase 0 Grantor 061,Phase 0 Grantee 014,"Section 10, Block 1, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 01030
T01,Ratification 01031,2011-11-23,phase0/import-stress/T01/image-01031.pdf,231,32,P0-01031,2011-11-24,2011-11-23,Phase 0 Grantor 062,Phase 0 Grantee 015,"Section 1, Block 2, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 01031
T02,Warranty Deed 01032,2012-12-24,phase0/import-stress/T02/image-01032.pdf,232,33,P0-01032,2012-12-25,2012-12-24,Phase 0 Grantor 063,Phase 0 Grantee 016,"Section 2, Block 3, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 01032
T03,Mineral Deed 01033,2013-01-25,phase0/import-stress/T03/image-01033.pdf,233,34,P0-01033,2013-01-26,2013-01-25,Phase 0 Grantor 064,Phase 0 Grantee 017,"Section 3, Block 4, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 01033
T04,Royalty Deed 01034,2014-02-26,phase0/import-stress/T04/image-01034.pdf,234,35,P0-01034,2014-02-27,2014-02-26,Phase 0 Grantor 065,Phase 0 Grantee 018,"Section 4, Block 5, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 01034
T05,Oil and Gas Lease 01035,2015-03-27,phase0/import-stress/T05/image-01035.pdf,235,36,P0-01035,2015-03-28,2015-03-27,Phase 0 Grantor 066,Phase 0 Grantee 019,"Section 5, Block 6, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 01035
T06,Assignment 01036,2016-04-28,phase0/import-stress/T06/image-01036.pdf,236,37,P0-01036,2016-04-01,2016-04-28,Phase 0 Grantor 067,Phase 0 Grantee 020,"Section 6, Block 7, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 01036
T07,Ratification 01037,2017-05-01,phase0/import-stress/T07/image-01037.pdf,237,38,P0-01037,2017-05-02,2017-05-01,Phase 0 Grantor 068,Phase 0 Grantee 021,"Section 7, Block 1, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 01037
T08,Warranty Deed 01038,2018-06-02,phase0/import-stress/T08/image-01038.pdf,238,39,P0-01038,2018-06-03,2018-06-02,Phase 0 Grantor 069,Phase 0 Grantee 022,"Section 8, Block 2, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 01038
T09,Mineral Deed 01039,2019-07-03,phase0/import-stress/T09/image-01039.pdf,239,40,P0-01039,2019-07-04,2019-07-03,Phase 0 Grantor 070,Phase 0 Grantee 023,"Section 9, Block 3, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 01039
T10,Royalty Deed 01040,1980-08-04,phase0/import-stress/T10/image-01040.pdf,240,41,P0-01040,1980-08-05,1980-08-04,Phase 0 Grantor 071,Phase 0 Grantee 024,"Section 10, Block 4, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 01040
T01,Oil and Gas Lease 01041,1981-09-05,phase0/import-stress/T01/image-01041.pdf,241,42,P0-01041,1981-09-06,1981-09-05,Phase 0 Grantor 072,Phase 0 Grantee 025,"Section 1, Block 5, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 01041
T02,Assignment 01042,1982-10-06,phase0/import-stress/T02/image-01042.pdf,242,43,P0-01042,1982-10-07,1982-10-06,Phase 0 Grantor 073,Phase 0 Grantee 026,"Section 2, Block 6, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 01042
T03,Ratification 01043,1983-11-07,phase0/import-stress/T03/image-01043.pdf,243,44,P0-01043,1983-11-08,1983-11-07,Phase 0 Grantor 074,Phase 0 Grantee 027,"Section 3, Block 7, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 01043
T04,Warranty Deed 01044,1984-12-08,phase0/import-stress/T04/image-01044.pdf,244,45,P0-01044,1984-12-09,1984-12-08,Phase 0 Grantor 075,Phase 0 Grantee 028,"Section 4, Block 1, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 01044
T05,Mineral Deed 01045,1985-01-09,phase0/import-stress/T05/image-01045.pdf,245,46,P0-01045,1985-01-10,1985-01-09,Phase 0 Grantor 076,Phase 0 Grantee 029,"Section 5, Block 2, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 01045
T06,Royalty Deed 01046,1986-02-10,phase0/import-stress/T06/image-01046.pdf,246,47,P0-01046,1986-02-11,1986-02-10,Phase 0 Grantor 077,Phase 0 Grantee 030,"Section 6, Block 3, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 01046
T07,Oil and Gas Lease 01047,1987-03-11,phase0/import-stress/T07/image-01047.pdf,247,48,P0-01047,1987-03-12,1987-03-11,Phase 0 Grantor 078,Phase 0 Grantee 031,"Section 7, Block 4, Raven Forest Survey, Walker County, Texas",1/41,Deterministic import stress row 01047
T08,Assignment 01048,1988-04-12,phase0/import-stress/T08/image-01048.pdf,248,49,P0-01048,1988-04-13,1988-04-12,Phase 0 Grantor 079,Phase 0 Grantee 032,"Section 8, Block 5, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 01048
T09,Ratification 01049,1989-05-13,phase0/import-stress/T09/image-01049.pdf,249,50,P0-01049,1989-05-14,1989-05-13,Phase 0 Grantor 080,Phase 0 Grantee 033,"Section 9, Block 6, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 01049
T10,Warranty Deed 01050,1990-06-14,phase0/import-stress/T10/image-01050.pdf,250,51,P0-01050,1990-06-15,1990-06-14,Phase 0 Grantor 081,Phase 0 Grantee 034,"Section 10, Block 7, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 01050
T01,Mineral Deed 01051,1991-07-15,phase0/import-stress/T01/image-01051.pdf,251,52,P0-01051,1991-07-16,1991-07-15,Phase 0 Grantor 082,Phase 0 Grantee 035,"Section 1, Block 1, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 01051
T02,Royalty Deed 01052,1992-08-16,phase0/import-stress/T02/image-01052.pdf,252,53,P0-01052,1992-08-17,1992-08-16,Phase 0 Grantor 083,Phase 0 Grantee 036,"Section 2, Block 2, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 01052
T03,Oil and Gas Lease 01053,1993-09-17,phase0/import-stress/T03/image-01053.pdf,253,54,P0-01053,1993-09-18,1993-09-17,Phase 0 Grantor 084,Phase 0 Grantee 037,"Section 3, Block 3, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 01053
T04,Assignment 01054,1994-10-18,phase0/import-stress/T04/image-01054.pdf,254,55,P0-01054,1994-10-19,1994-10-18,Phase 0 Grantor 085,Phase 0 Grantee 038,"Section 4, Block 4, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 01054
T05,Ratification 01055,1995-11-19,phase0/import-stress/T05/image-01055.pdf,255,56,P0-01055,1995-11-20,1995-11-19,Phase 0 Grantor 086,Phase 0 Grantee 039,"Section 5, Block 5, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 01055
T06,Warranty Deed 01056,1996-12-20,phase0/import-stress/T06/image-01056.pdf,256,57,P0-01056,1996-12-21,1996-12-20,Phase 0 Grantor 087,Phase 0 Grantee 040,"Section 6, Block 6, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 01056
T07,Mineral Deed 01057,1997-01-21,phase0/import-stress/T07/image-01057.pdf,257,58,P0-01057,1997-01-22,1997-01-21,Phase 0 Grantor 088,Phase 0 Grantee 041,"Section 7, Block 7, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 01057
T08,Royalty Deed 01058,1998-02-22,phase0/import-stress/T08/image-01058.pdf,258,59,P0-01058,1998-02-23,1998-02-22,Phase 0 Grantor 089,Phase 0 Grantee 042,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 01058
T09,Oil and Gas Lease 01059,1999-03-23,phase0/import-stress/T09/image-01059.pdf,259,60,P0-01059,1999-03-24,1999-03-23,Phase 0 Grantor 090,Phase 0 Grantee 043,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 01059
T10,Assignment 01060,2000-04-24,phase0/import-stress/T10/image-01060.pdf,260,61,P0-01060,2000-04-25,2000-04-24,Phase 0 Grantor 091,Phase 0 Grantee 044,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 01060
T01,Ratification 01061,2001-05-25,phase0/import-stress/T01/image-01061.pdf,261,62,P0-01061,2001-05-26,2001-05-25,Phase 0 Grantor 092,Phase 0 Grantee 045,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 01061
T02,Warranty Deed 01062,2002-06-26,phase0/import-stress/T02/image-01062.pdf,262,63,P0-01062,2002-06-27,2002-06-26,Phase 0 Grantor 093,Phase 0 Grantee 046,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 01062
T03,Mineral Deed 01063,2003-07-27,phase0/import-stress/T03/image-01063.pdf,263,64,P0-01063,2003-07-28,2003-07-27,Phase 0 Grantor 094,Phase 0 Grantee 047,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 01063
T04,Royalty Deed 01064,2004-08-28,phase0/import-stress/T04/image-01064.pdf,264,65,P0-01064,2004-08-01,2004-08-28,Phase 0 Grantor 095,Phase 0 Grantee 048,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 01064
T05,Oil and Gas Lease 01065,2005-09-01,phase0/import-stress/T05/image-01065.pdf,265,66,P0-01065,2005-09-02,2005-09-01,Phase 0 Grantor 096,Phase 0 Grantee 049,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 01065
T06,Assignment 01066,2006-10-02,phase0/import-stress/T06/image-01066.pdf,266,67,P0-01066,2006-10-03,2006-10-02,Phase 0 Grantor 097,Phase 0 Grantee 050,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 01066
T07,Ratification 01067,2007-11-03,phase0/import-stress/T07/image-01067.pdf,267,68,P0-01067,2007-11-04,2007-11-03,Phase 0 Grantor 001,Phase 0 Grantee 051,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 01067
T08,Warranty Deed 01068,2008-12-04,phase0/import-stress/T08/image-01068.pdf,268,69,P0-01068,2008-12-05,2008-12-04,Phase 0 Grantor 002,Phase 0 Grantee 052,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 01068
T09,Mineral Deed 01069,2009-01-05,phase0/import-stress/T09/image-01069.pdf,269,70,P0-01069,2009-01-06,2009-01-05,Phase 0 Grantor 003,Phase 0 Grantee 053,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 01069
T10,Royalty Deed 01070,2010-02-06,phase0/import-stress/T10/image-01070.pdf,270,71,P0-01070,2010-02-07,2010-02-06,Phase 0 Grantor 004,Phase 0 Grantee 054,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 01070
T01,Oil and Gas Lease 01071,2011-03-07,phase0/import-stress/T01/image-01071.pdf,271,72,P0-01071,2011-03-08,2011-03-07,Phase 0 Grantor 005,Phase 0 Grantee 055,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 01071
T02,Assignment 01072,2012-04-08,phase0/import-stress/T02/image-01072.pdf,272,73,P0-01072,2012-04-09,2012-04-08,Phase 0 Grantor 006,Phase 0 Grantee 056,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 01072
T03,Ratification 01073,2013-05-09,phase0/import-stress/T03/image-01073.pdf,273,74,P0-01073,2013-05-10,2013-05-09,Phase 0 Grantor 007,Phase 0 Grantee 057,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 01073
T04,Warranty Deed 01074,2014-06-10,phase0/import-stress/T04/image-01074.pdf,274,75,P0-01074,2014-06-11,2014-06-10,Phase 0 Grantor 008,Phase 0 Grantee 058,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 01074
T05,Mineral Deed 01075,2015-07-11,phase0/import-stress/T05/image-01075.pdf,275,76,P0-01075,2015-07-12,2015-07-11,Phase 0 Grantor 009,Phase 0 Grantee 059,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 01075
T06,Royalty Deed 01076,2016-08-12,phase0/import-stress/T06/image-01076.pdf,276,77,P0-01076,2016-08-13,2016-08-12,Phase 0 Grantor 010,Phase 0 Grantee 060,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 01076
T07,Oil and Gas Lease 01077,2017-09-13,phase0/import-stress/T07/image-01077.pdf,277,78,P0-01077,2017-09-14,2017-09-13,Phase 0 Grantor 011,Phase 0 Grantee 061,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 01077
T08,Assignment 01078,2018-10-14,phase0/import-stress/T08/image-01078.pdf,278,79,P0-01078,2018-10-15,2018-10-14,Phase 0 Grantor 012,Phase 0 Grantee 062,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 01078
T09,Ratification 01079,2019-11-15,phase0/import-stress/T09/image-01079.pdf,279,80,P0-01079,2019-11-16,2019-11-15,Phase 0 Grantor 013,Phase 0 Grantee 063,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 01079
T10,Warranty Deed 01080,1980-12-16,phase0/import-stress/T10/image-01080.pdf,280,81,P0-01080,1980-12-17,1980-12-16,Phase 0 Grantor 014,Phase 0 Grantee 064,"Section 10, Block 2, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 01080
T01,Mineral Deed 01081,1981-01-17,phase0/import-stress/T01/image-01081.pdf,281,82,P0-01081,1981-01-18,1981-01-17,Phase 0 Grantor 015,Phase 0 Grantee 065,"Section 1, Block 3, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 01081
T02,Royalty Deed 01082,1982-02-18,phase0/import-stress/T02/image-01082.pdf,282,83,P0-01082,1982-02-19,1982-02-18,Phase 0 Grantor 016,Phase 0 Grantee 066,"Section 2, Block 4, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 01082
